ticker,Date,nav,premium_reported,prem_next
MYHE,2026-08-17,24.802271,0.01260889,0.010398860000000001
MYHE,2026-08-18,24.742704,0.010398860000000001,0.00230789
MYMH,2025-04-09,23.869317,0.01071179,-0.0013199099999999999
MYMJ,2025-04-09,23.86068,0.013173140000000002,-0.00184524
NZAC,2025-04-09,33.793877,0.019859309999999998,-0.00054097
ONEO,2025-04-24,112.792816,0.010879980000000001,-9.168e-05
QEMM,2025-01-10,56.957501,-0.011894849999999998,-0.00291866
QEMM,2025-02-07,58.592528,-0.01361143,-0.00291103
QEMM,2025-02-21,59.40126,-0.01054287,-0.012483550000000001
QEMM,2025-02-24,58.95598,-0.012483550000000001,-0.00257511
QEMM,2025-02-27,58.363977,-0.015574280000000001,-0.00510779
QEMM,2025-03-03,57.322829,-0.01147586,-0.00469717
QEMM,2025-03-06,58.513008,-0.01397993,-0.00718199
QEMM,2025-03-10,57.792244,-0.013189379999999999,-0.00414026
QEMM,2025-03-26,58.919898,-0.01043617,-0.00489188
QEMM,2025-03-28,58.409276,-0.01214321,-0.00155887
QEMM,2025-04-03,57.698011,-0.01738381,-0.024778989999999997
QEMM,2025-04-04,55.628416,-0.024778989999999997,-0.013777939999999999
QEMM,2025-04-07,53.304425,-0.013777939999999999,-0.02751351
QEMM,2025-04-08,53.414624,-0.02751351,0.04412956999999999
QEMM,2025-04-09,53.072915,0.04412956999999999,-0.00959027
QEMM,2025-04-21,56.780295,-0.01189312,0.0015508
QEMM,2025-05-15,61.502907,0.01483008,-0.00600838
QEMM,2025-07-30,63.814954,-0.01316234,-0.0103312
QEMM,2025-07-31,63.40505,-0.0103312,-0.00256769
QEMM,2025-08-12,64.225361,0.01167201,0.0009324
QEMM,2025-08-19,64.52954,-0.01037571,-0.00326326
QEMM,2025-10-09,67.443981,-0.01221727,-0.02921687
QEMM,2025-10-10,66.698728,-0.02921687,-0.00693055
QEMM,2025-11-13,69.301627,-0.015535380000000001,-0.0027396
QEMM,2025-11-17,68.525109,-0.014521820000000001,-0.0002533
QEMM,2025-11-20,67.724552,-0.01822902,0.00026588
QEMM,2025-12-12,66.025627,-0.01114154,-0.00470112
QEMM,2026-01-23,70.155174,0.010331749999999999,0.00239681
QEMM,2026-02-02,69.918678,0.01739624,-0.00021929
QEMM,2026-02-06,70.654513,0.02024622,0.01190605
QEMM,2026-02-09,71.898967,0.01190605,0.007078
QEMM,2026-02-20,72.718343,0.01817502,0.003138
QEMM,2026-02-24,73.617341,0.01144647,0.007861479999999999
QEMM,2026-03-03,71.176951,-0.01920497,0.024780060000000003
QEMM,2026-03-04,69.219731,0.024780060000000003,-0.01281952
QEMM,2026-03-05,70.432916,-0.01281952,-0.01970108
QEMM,2026-03-06,70.254081,-0.01970108,0.02830148
QEMM,2026-03-09,68.554798,0.02830148,-0.0037056800000000003
QEMM,2026-03-12,69.912217,-0.017553680000000002,-0.00421614
QEMM,2026-03-18,70.634505,-0.017265,0.00298156
QEMM,2026-03-20,68.890148,-0.01713087,0.02867499
QEMM,2026-03-23,67.334193,0.02867499,0.0068175399999999995
QEMM,2026-03-26,68.764724,-0.01279325,-0.00636153
QEMM,2026-03-31,67.0354,0.03460261,0.00800582
QEMM,2026-04-06,68.972386,0.01083932,0.00608398
QEMM,2026-04-13,72.606073,0.01424023,0.013155889999999998
QEMM,2026-04-14,73.715211,0.013155889999999998,0.004624130000000001
QEMM,2026-04-17,75.406376,0.0156966,0.01001097
QEMM,2026-04-20,75.479378,0.01001097,-0.011389370000000001
QEMM,2026-04-21,76.137154,-0.011389370000000001,0.00640779
QEMM,2026-04-24,75.880566,0.01218275,-0.00098079
QEMM,2026-04-30,75.896045,0.01645613,0.01828393
QEMM,2026-05-01,75.946401,0.01828393,-0.0038626500000000005
QEMM,2026-05-05,77.529677,0.01174161,0.01180285
QEMM,2026-05-06,79.526362,0.01180285,-0.01019403
QEMM,2026-05-07,80.217742,-0.01019403,0.0112867
QEMM,2026-05-08,79.88338,0.0112867,0.00594853
QEMM,2026-05-14,79.689393,0.0163837,-0.00432554
QEMM,2026-05-20,76.734607,0.01688147,0.00791071
QEMM,2026-05-26,80.892257,0.0116543,-0.00204968
QEMM,2026-05-28,80.791858,0.012602040000000002,-0.00068174
QEMM,2026-06-05,79.432964,-0.02949612,0.00721264
QEMM,2026-06-09,79.592231,-0.01089593,-0.00692285
QEMM,2026-06-11,77.933531,0.027093199999999998,0.00536149
QEMM,2026-06-15,81.579562,0.01085367,-0.00398994
QEMM,2026-06-17,81.815714,-0.011070169999999999,0.007536070000000001
QEMM,2026-06-29,78.132226,0.01053053,0.014857819999999999
QEMM,2026-06-30,78.661265,0.014857819999999999,-0.00588562
QEMM,2026-07-09,77.963344,0.01118033,0.00788343
QEMM,2026-07-23,78.453293,-0.01145004,-0.00218872
QEMM,2026-07-30,75.419439,0.02380767,-0.00401957
QEMM,2026-08-04,78.562911,0.01581012,-0.00367892
QEMM,2026-09-01,82.657694,-0.01364294,0.0027516600000000004
QEMM,2026-09-10,82.625539,-0.01646633,0.00141848
QWLD,2025-04-04,118.972647,-0.010865080000000001,-0.00142182
QWLD,2025-04-09,120.881462,0.01645031,-0.0038135400000000002
RWX,2025-04-03,25.076716,-0.011234170000000002,-0.01808243
RWX,2025-04-04,24.289208,-0.01808243,0.00144035
RWX,2025-04-08,23.405882,-0.013495839999999999,0.03139596
RWX,2025-04-09,23.16763,0.03139596,-0.00712008
RWX,2025-04-11,24.427943,0.01216054,0.0053780600000000005
RWX,2026-03-09,28.270763,0.01199957,-0.0028953299999999998
RWX,2026-03-18,28.282547,-0.01440984,0.00305879
RWX,2026-03-20,27.370972,-0.01245743,0.01007536
RWX,2026-03-23,26.735629,0.01007536,0.00119187
RWX,2026-03-31,26.373949,0.012741780000000001,-0.00197787
RWX,2026-04-21,28.613596,-0.01043546,-0.00321959
RWX,2026-05-07,28.586459,-0.013344050000000001,-0.0005341300000000001
RWX,2026-06-11,27.040444,0.014776240000000001,0.00417829
RWX,2026-06-17,27.275979,-0.01011802,-0.00247864
SPDG,2026-05-07,44.505929,0.08682149,-0.00029758
SPIN,2026-05-07,32.021585,-0.04939122,-0.00010456
SPIN,2026-06-26,31.630943,-0.0235827,-0.00090921
TEKX,2026-09-02,59.837268,-0.014577340000000001,-0.00129133
WDIV,2025-04-04,62.785524,-0.011714869999999999,-0.0014838299999999998
WDIV,2025-04-08,60.584454,-0.01336075,0.02201342
