accession,cik,form,filing_date,acceptance_datetime,company,description,items,document_url,classification
0001213900-25-000379,0001355839,8-K,2025-01-02,,"PALTALK, INC.  (PALT)  (CIK 0001355839)",CERTIFICATE OF DESIGNATIONS OF SERIES A NON-VOTING COMMON EQUIVALENT STOCK OF INTELLIGENT PROTECTION MANAGEMENT CORP,1.01;2.01;3.02;3.03;5.02;5.03;5.05;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1355839/000121390025000379/ea0226465-8k_intelli.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-000294,0001752828,8-K,2025-01-03,,"Celularity Inc  (CELU, CELUW)  (CIK 0001752828)",,1.01;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1752828/000149315225000294/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-000865,0001823144,8-K,2025-01-03,,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)",FORM 8-K,1.01;9.01,https://www.sec.gov/Archives/edgar/data/1823144/000110465925000865/R1.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-001280,0001856236,8-K,2025-01-03,,"European Wax Center, Inc.  (EWCZ)  (CIK 0001856236)",EX-10.1,3.02;9.01,https://www.sec.gov/Archives/edgar/data/1856236/000095017025001280/ewcz-20241227.htm,UNRELATED OR NOT CONFIRMED
0001558370-25-000020,0001745032,8-K,2025-01-03,,"Lodging Fund REIT III, Inc.  (CIK 0001745032)",8-K,1.01;2.04;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1745032/000155837025000020/lfr-20241224x8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-000299,0000788611,8-K,2025-01-03,,"NextTrip, Inc.  (NTRP)  (CIK 0000788611)",,1.01;3.02;5.03;9.01,https://www.sec.gov/Archives/edgar/data/788611/000149315225000299/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001628280-25-000261,0001704292,8-K,2025-01-03,,Zai Lab Ltd  (ZLAB)  (CIK 0001704292),EX-10.2,1.01;2.03;9.01,https://www.sec.gov/Archives/edgar/data/1704292/000162828025000261/ex101-bocomguaranteecontra.htm,UNRELATED OR NOT CONFIRMED
0001140361-25-000296,0001411690,8-K,2025-01-06,,"Bionano Genomics, Inc.  (BNGO)  (CIK 0001411690)",EXHIBIT 4.2,1.01;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1411690/000114036125000296/ny20041129x2_8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-001087,0001130166,8-K,2025-01-06,,"Cyclacel Pharmaceuticals, Inc.  (CYCC, CYCCP)  (CIK 0001130166)",EXHIBIT 3.1,1.01;3.02;3.03;5.02;5.03;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1130166/000110465925001087/R1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-003535,0001217234,8-K,2025-01-08,,"CareDx, Inc.  (CDNA)  (CIK 0001217234)",EX-10.1,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1217234/000119312525003535/d829322d8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-002026,0001438423,8-K,2025-01-08,,EVERSPIN TECHNOLOGIES INC  (MRAM)  (CIK 0001438423),FORM 8-K,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1438423/000110465925002026/R1.htm,UNRELATED OR NOT CONFIRMED
0001178913-25-000072,0001607962,8-K/A,2025-01-08,,Lifeward Ltd.  (LFWD)  (CIK 0001607962),EXHIBIT 4.1,9.01,https://www.sec.gov/Archives/edgar/data/1607962/000117891325000072/exhibit_4-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001178913-25-000065,0001607962,8-K,2025-01-08,,Lifeward Ltd.  (LFWD)  (CIK 0001607962),EXHIBIT 4.2,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1607962/000117891325000065/exhibit_10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001437749-25-000801,0001719406,8-K,2025-01-10,,"NRX Pharmaceuticals, Inc.  (NRXP, NRXPW)  (CIK 0001719406)",EXHIBIT 99.1,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1719406/000143774925000801/ex_764005.htm,UNRELATED OR NOT CONFIRMED
0001628280-25-001137,0001819994,8-K,2025-01-10,,"Rocket Lab USA, Inc.  (RKLB)  (CIK 0001819994)",EX-3.1,3.03;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1819994/000162828025001137/R1.htm,UNRELATED OR NOT CONFIRMED
0001718939-25-000014,0001718939,8-K,2025-01-10,,T Stamp Inc  (IDAI)  (CIK 0001718939),EX-4.1,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1718939/000171893925000014/a101securitiespurchaseagre.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-001566,0002011954,10-12B/A,2025-01-10,,Twin Hospitality Group Inc.  (TWNP)  (CIK 0002011954),,,https://www.sec.gov/Archives/edgar/data/2011954/000149315225001566/ex10-3.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-003095,0001705110,8-K,2025-01-13,,Angi Inc.  (ANGI)  (CIK 0001705110),FORM 8-K,3.02;5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1705110/000110465925003095/R1.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-000902,0001120970,8-K,2025-01-13,,Comstock Inc.  (LODE)  (CIK 0001120970),EXHIBIT 10.2,1.01;2.03;9.01,https://www.sec.gov/Archives/edgar/data/1120970/000143774925000902/ex_764363.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001437749-25-000923,0001120970,8-K,2025-01-13,,Comstock Inc.  (LODE)  (CIK 0001120970),EXHIBIT 99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1120970/000143774925000923/ex_764695.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001692951-25-000053,0001692951,8-K,2025-01-13,,"Cottonwood Communities, Inc.  (CIK 0001692951)",EX-3.1 ARTICLES SUPPLEMENTARY - SERIES A CONVERTIBLE PREFERRED STOCK,1.01;3.02;3.03;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1692951/000169295125000053/cci-20241205.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000899140-25-000065,0001743725,8-K,2025-01-13,,"GRID DYNAMICS HOLDINGS, INC.  (GDYN)  (CIK 0001743725)",,5.02,https://www.sec.gov/Archives/edgar/data/1743725/000089914025000065/g83305165.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-003068,0001981792,8-K,2025-01-13,,Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792),EXHIBIT 99.2,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1981792/000110465925003068/R1.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-003096,0001800227,8-K,2025-01-13,,IAC Inc.  (IAC)  (CIK 0001800227),FORM 8-K,1.01;1.02;5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1800227/000110465925003096/R1.htm,UNRELATED OR NOT CONFIRMED
0002007919-25-000003,0002007919,8-K,2025-01-13,,"Inhibrx Biosciences, Inc.  (INBX)  (CIK 0002007919)",EX-4.1,1.01;2.03;3.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/2007919/000200791925000003/exhibit101-oxfordlsa.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-004622,0000920760,8-K,2025-01-13,,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",8-K,8.01;9.01,https://www.sec.gov/Archives/edgar/data/920760/000119312525004622/d917261d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001615219-25-000004,0001615219,8-K,2025-01-13,,"Salarius Pharmaceuticals, Inc.  (SLRX)  (CIK 0001615219)",EX-4.1,1.01;3.02;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1615219/000161521925000004/a991fs2022and2023.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-005373,0001888654,8-K,2025-01-14,,"5E Advanced Materials, Inc.  (FEAM, FEAV)  (CIK 0001888654)",EX-10.6,1.01;2.03;3.02;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1888654/000095017025005373/feam-20250110.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-003194,0001974138,8-K,2025-01-14,,NCR Atleos Corp  (NATL)  (CIK 0001974138),EXHIBIT 99.1,5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1974138/000110465925003194/R1.htm,UNRELATED OR NOT CONFIRMED
0001166388-25-000002,0001166388,8-K,2025-01-14,,VERINT SYSTEMS INC  (VRNT)  (CIK 0001166388),PRESS RELEASE,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1166388/000116638825000002/exh991-vrntjan1420258xkx20.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001437107-25-000004,0001437107,8-K,2025-01-14,,"Warner Bros. Discovery, Inc.  (WBD)  (CIK 0001437107)",EX-99,5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1437107/000143710725000004/disca-20250108.htm,UNRELATED OR NOT CONFIRMED
0001753926-25-000093,0000840715,8-K,2025-01-15,,CLEARONE INC  (CLRO)  (CIK 0000840715),8-K,3.01;9.01,https://www.sec.gov/Archives/edgar/data/840715/000175392625000093/clro-20250115.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001800227-25-000003,0001800227,8-K,2025-01-15,,IAC Inc.  (IAC)  (CIK 0001800227),EX-99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1800227/000180022725000003/ex-991xsupplementalfinanci.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-007774,0001828811,8-K,2025-01-16,,Li-Cycle Holdings Corp.  (LICY)  (CIK 0001828811),EX-4.3,1.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1828811/000119312525007774/d867622d8k.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-007725,0000106040,8-K,2025-01-16,,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040),8-K,2.02;5.02,https://www.sec.gov/Archives/edgar/data/106040/000119312525007725/d856730d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-008517,0001871638,8-K,2025-01-17,,"Blaize Holdings, Inc.  (BRKH, BRKHU, BRKHW)  (CIK 0001871638)",EX-10.22,1.01;2.01;3.02;3.03;4.01;5.01;5.02;5.03;5.05;5.06;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1871638/000119312525008517/d903961d8k.htm,UNRELATED OR NOT CONFIRMED
0000815556-25-000051,0000815556,8-K,2025-01-17,,FASTENAL CO  (FAST)  (CIK 0000815556),8-K,5.02,https://www.sec.gov/Archives/edgar/data/815556/000081555625000051/fast-20250116.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-002733,0001705012,8-K,2025-01-17,,"Fat Brands, Inc  (FAT, FATBB, FATBP, FATBW)  (CIK 0001705012)",,8.01;9.01,https://www.sec.gov/Archives/edgar/data/1705012/000149315225002733/ex99-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001493152-25-002832,0001962011,8-K,2025-01-17,,"Kairos Pharma, LTD.  (KAPA)  (CIK 0001962011)",,1.01;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1962011/000149315225002832/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-002824,0002011954,8-K,2025-01-17,,Twin Hospitality Group Inc.  (TWNP)  (CIK 0002011954),,7.01;9.01,https://www.sec.gov/Archives/edgar/data/2011954/000149315225002824/ex99-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0000066740-25-000002,0000066740,8-K,2025-01-21,,3M CO  (MMM)  (CIK 0000066740),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/66740/000006674025000002/mmm-20250121.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-009205,0000920760,8-K,2025-01-21,,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",8-K,8.01;9.01,https://www.sec.gov/Archives/edgar/data/920760/000119312525009205/d913968d8k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001193125-25-008947,0002023554,10-12B/A,2025-01-21,,Sandisk Corp  (SNDK)  (CIK 0002023554),10-12B/A,,https://www.sec.gov/Archives/edgar/data/2023554/000119312525008947/d835366d1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001521332-25-000003,0001521332,8-K,2025-01-22,,Aptiv PLC  (APTV)  (CIK 0001521332),EXHIBIT 99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000003/aptv-20250122.htm,UNRELATED OR NOT CONFIRMED
0001996810-25-000004,0001996810,8-K,2025-01-22,,GE Vernova Inc.  (GEV)  (CIK 0001996810),EX-99,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1996810/000199681025000004/gev-20250122.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-006034,0002039497,10-12B/A,2025-01-24,,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)",EXHIBIT 2.1,,https://www.sec.gov/Archives/edgar/data/2039497/000110465925006034/tm2425234-9_1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-003643,0001760903,8-K,2025-01-24,,"Safety Shot, Inc.  (SHOT, SHOTW)  (CIK 0001760903)",,1.01;2.03;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1760903/000149315225003643/ex10-1.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-003813,0000844856,8-K,2025-01-27,,Healthier Choices Management Corp.  (HCMC)  (CIK 0000844856),,4.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/844856/000149315225003813/ex16-1.htm,UNRELATED OR NOT CONFIRMED
0001829126-25-000406,0001499961,8-K,2025-01-27,,MULLEN AUTOMOTIVE INC.  (MULN)  (CIK 0001499961),EXHIBIT 10.1(A),1.01;2.03;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1499961/000182912625000406/mullenautomotive_8k.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-013282,0002023554,10-12B/A,2025-01-27,,Sandisk Corp  (SNDK)  (CIK 0002023554),10-12B/A,,https://www.sec.gov/Archives/edgar/data/2023554/000119312525013282/d835366d1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-006529,0001227654,8-K,2025-01-28,,COMPASS MINERALS INTERNATIONAL INC  (CMP)  (CIK 0001227654),FORM 8-K,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1227654/000110465925006529/R1.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-002160,0001719406,8-K,2025-01-29,,"NRX Pharmaceuticals, Inc.  (NRXP, NRXPW)  (CIK 0001719406)",EXHIBIT 4.4,1.01;2.03;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1719406/000143774925002160/ex_771257.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001213900-25-007705,0001795091,8-K,2025-01-29,,OS Therapies Inc  (OSTX)  (CIK 0001795091),FORM OF WARRANT,1.01;3.02;5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1795091/000121390025007705/ea0229055-8k_osthera.htm,UNRELATED OR NOT CONFIRMED
