accession,cik,form,filing_date,acceptance_datetime,company,description,items,document_url,classification
0001104659-25-010443,0002039497,10-12B/A,2025-02-07,,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)",10-12B/A,,https://www.sec.gov/Archives/edgar/data/2039497/000110465925010443/tm2425234-13_1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-010752,0001823144,8-K,2025-02-10,,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)",FORM 8-K,2.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1823144/000110465925010752/R1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-023219,0001754301,8-K,2025-02-10,,"Fox Corp  (FOX, FOXA)  (CIK 0001754301)",EX-99.1,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1754301/000119312525023219/d925169d8k.htm,UNRELATED OR NOT CONFIRMED
0001628280-25-004483,0000060519,8-K,2025-02-10,,LOUISIANA-PACIFIC CORP  (LPX)  (CIK 0000060519),EX-99.1,5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/60519/000162828025004483/lpx-20250206.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-010902,0002039497,10-12B/A,2025-02-10,,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)",10-12B/A,,https://www.sec.gov/Archives/edgar/data/2039497/000110465925010902/tm2425234-18_1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001705110-25-000009,0001705110,8-K,2025-02-11,,Angi Inc.  (ANGI)  (CIK 0001705110),EX-99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1705110/000170511025000009/angi-20250211.htm,UNRELATED OR NOT CONFIRMED
0001101215-25-000026,0001101215,8-K,2025-02-11,,"BREAD FINANCIAL HOLDINGS, INC.  (BFH)  (CIK 0001101215)",EX-99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000026/bfh-20250211.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-017451,0002027317,8-K,2025-02-11,,Curbline Properties Corp.  (CURB)  (CIK 0002027317),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/2027317/000095017025017451/curb-20250211.htm,UNRELATED OR NOT CONFIRMED
0002015845-25-000005,0002015845,8-K,2025-02-11,,"Everus Construction Group, Inc.  (ECG)  (CIK 0002015845)",EX-99.1,2.02;7.01,https://www.sec.gov/Archives/edgar/data/2015845/000201584525000005/a2024q4ex99-ecg.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001800227-25-000006,0001800227,8-K,2025-02-11,,IAC Inc.  (IAC)  (CIK 0001800227),EX-99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1800227/000180022725000006/ex_991q42024iac-pressrelea.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001213900-25-012244,0001176309,8-K,2025-02-11,,ORAMED PHARMACEUTICALS INC.  (ORMP)  (CIK 0001176309),CURRENT REPORT,1.01;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1176309/000121390025012244/ea0229914-8k_oramed.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001025378-25-000022,0001025378,8-K,2025-02-11,,W. P. Carey Inc.  (WPC)  (CIK 0001025378),EX-99.2,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1025378/000102537825000022/exhibit993-investorprese.htm,UNRELATED OR NOT CONFIRMED
0001628280-25-004776,0001959348,8-K,2025-02-11,,WK Kellogg Co  (KLG)  (CIK 0001959348),EX-99.1,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1959348/000162828025004776/klg-2024q4exhibit991.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001477932-25-000921,0002049860,10-12B/A,2025-02-12,,Electrified Materials Corp / IN  (CIK 0002049860),TRANSITION SERVICES AGREEMENT,,https://www.sec.gov/Archives/edgar/data/2049860/000147793225000921/ems_1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001932393-25-000004,0001932393,8-K,2025-02-13,,GE HealthCare Technologies Inc.  (GEHC)  (CIK 0001932393),EX-99,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000004/gehc-20250213.htm,UNRELATED OR NOT CONFIRMED
0001364479-25-000006,0001364479,8-K,2025-02-13,,HERC HOLDINGS INC  (HRI)  (CIK 0001364479),EX-99.2,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1364479/000136447925000006/herc2024q4-pressrelease.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001968915-25-000004,0001968915,8-K,2025-02-13,,PHINIA INC.  (PHIN)  (CIK 0001968915),EX-99,2.02;9.01,https://www.sec.gov/Archives/edgar/data/1968915/000196891525000004/phin-20250213.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-027362,0001576280,8-K,2025-02-14,,"Guardant Health, Inc.  (GH)  (CIK 0001576280)",EX-4.1,1.01;2.03;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1576280/000119312525027362/d891468d8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-013546,0002039497,8-K,2025-02-14,,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)",FORM 8-K,7.01;9.01,https://www.sec.gov/Archives/edgar/data/2039497/000110465925013546/R1.htm,UNRELATED OR NOT CONFIRMED
0001570585-25-000022,0001570585,8-K,2025-02-18,,"Liberty Global Ltd.  (LBTYA, LBTYB, LBTYK)  (CIK 0001570585)",EX-99.1,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1570585/000157058525000022/ex991lgq42024pressrelease.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0000950142-25-000443,0002039497,8-K,2025-02-19,,"Resolute Holdings Management, Inc.  (RHLD)  (CIK 0002039497)",FORM 8-K,5.02;5.03;9.01,https://www.sec.gov/Archives/edgar/data/2039497/000095014225000443/eh250593103_8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
