provisional_transaction_id,issuer_key,cik,filing_count,filing_dates,filing_urls,status
SPIN-REVIEW-040,t stamp inc,0001718939,1,2025-01-10,https://www.sec.gov/Archives/edgar/data/1718939/000171893925000014/a101securitiespurchaseagre.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-041,nrx pharmaceuticals inc,0001719406,1,2025-01-29,https://www.sec.gov/Archives/edgar/data/1719406/000143774925002160/ex_771257.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-042,northwest natural holding co,0001733998,1,2025-03-18,https://www.sec.gov/Archives/edgar/data/1733998/000173399825000078/ex1underwritingagreement.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-043,lodging fund reit iii inc,0001745032,1,2025-01-03,https://www.sec.gov/Archives/edgar/data/1745032/000155837025000020/lfr-20241224x8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-044,celularity inc,0001752828,1,2025-01-03,https://www.sec.gov/Archives/edgar/data/1752828/000149315225000294/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-045,safety shot inc,0001760903,1,2025-03-31,https://www.sec.gov/Archives/edgar/data/1760903/000164117225001805/ex99-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-046,iac inc,0001800227,2,2025-01-15;2025-02-11,https://www.sec.gov/Archives/edgar/data/1800227/000180022725000003/ex-991xsupplementalfinanci.htm;https://www.sec.gov/Archives/edgar/data/1800227/000180022725000006/ex_991q42024iac-pressrelea.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-047,composecure inc,0001823144,1,2025-03-05,https://www.sec.gov/Archives/edgar/data/1823144/000095014225000636/eh250596910_8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-048,n able inc,0001834488,2,2025-03-03;2025-03-13,https://www.sec.gov/Archives/edgar/data/1834488/000183448825000039/nabl-20241231x8kxex991.htm;https://www.sec.gov/Archives/edgar/data/1834488/000183448825000063/n-able2025investordaypre.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-049,lanzatech global inc,0001843724,1,2025-03-04,https://www.sec.gov/Archives/edgar/data/1843724/000162828025009942/amci-20250304.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
