Title: Schedule of Selected Releases 2020

URL Source: https://www.bls.gov/schedule/2020/home.htm

Markdown Content:
## January, 2020

[Month View](https://www.bls.gov/schedule/2020/01_sched.htm) | List View

| Date | Time | Release |
| Wednesday, September 02, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for July 2020 |
| Thursday, September 03, 2020 | 08:30 AM | **Productivity and Costs (R)** for Second Quarter 2020 |
| Friday, September 04, 2020 | 08:30 AM | **Employment Situation** for August 2020 |
| Monday, September 07, 2020 |  | **Labor Day** |
| Wednesday, September 09, 2020 | 10:00 AM | **Consumer Expenditures (Annual)** for 2019 |
| Wednesday, September 09, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for July 2020 |
| Thursday, September 10, 2020 | 08:30 AM | **Producer Price Index** for August 2020 |
| Friday, September 11, 2020 | 08:30 AM | **Consumer Price Index** for August 2020 |
| Friday, September 11, 2020 | 08:30 AM | **Real Earnings** for August 2020 |
| Tuesday, September 15, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for August 2020 |
| Thursday, September 17, 2020 | 10:00 AM | **Employer Costs for Employee Compensation** for June 2020 |
| Friday, September 18, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for August 2020 |
| Tuesday, September 22, 2020 | 10:00 AM | **Employee Tenure** for Biennial 2020 |
| Thursday, September 24, 2020 | 10:00 AM | **Employee Benefits in the United States** for March 2020 |
| Wednesday, September 30, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for August 2020 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**August 19, 2020

## October, 2020

[Month View](https://www.bls.gov/schedule/2020/10_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Friday, October 02, 2020 | 08:30 AM | **Employment Situation** for September 2020 |
| Tuesday, October 06, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for August 2020 |
| Monday, October 12, 2020 |  | **Columbus Day** |
| Tuesday, October 13, 2020 | 08:30 AM | **Consumer Price Index** for September 2020 |
