symbol,date,kind,node_low,node_high,poc,atr,level_of,ruled_by,side,context_px,entry,stop
AMZN,2019-06-25,S1_contraction,1849.7529833333335,1875.8870166666668,1862.8200000000002,37.33433333333333,range_poc,spec,long,1878.27,1849.7529833333335,1843.2194750000003
AMZN,2019-07-01,S1_contraction,1898.8651,1923.2815666666665,1911.0733333333333,34.88066666666666,range_poc,spec,long,1922.19,1898.8651,1892.7609833333333
AMZN,2019-08-20,S1_contraction,1776.4286811733964,1802.453652159937,1789.4411666666667,37.17852998077249,range_poc,spec,long,1801.38,1776.4286811733964,1769.9224384267613
AMZN,2019-08-22,S1_contraction,1775.314697840063,1800.8816354932703,1788.0981666666667,36.52419664743915,range_poc,spec,long,1804.66,1775.314697840063,1768.9229634267613
AMZN,2019-08-29,S1_contraction,1775.2079156733964,1802.0385843266038,1788.62325,38.329526647439145,range_poc,spec,long,1786.4,1775.2079156733964,1768.5002485100945
AMZN,2019-10-09,S1_contraction,1715.3098591666667,1736.3002925,1725.8050758333334,29.986333333333338,range_poc,spec,long,1721.99,1715.3098591666667,1710.0622508333333
AMZN,2019-10-25,S1_contraction,1719.1543663333334,1741.9302103333332,1730.5422883333333,32.536919999999995,range_poc,spec,long,1761.33,1719.1543663333334,1713.4604053333335
AMZN,2019-11-14,S1_contraction,1764.8765331666666,1783.2025984999998,1774.0395658333332,26.180093333333335,range_poc,spec,long,1754.6,1764.8765331666666,1760.2950168333332
AMZN,2019-11-25,S1_contraction,1764.8492319999998,1783.2298996666666,1774.0395658333332,26.25809666666668,range_poc,spec,long,1773.84,1764.8492319999998,1760.254065083333
AMZN,2019-12-13,S1_contraction,1739.5888381666666,1755.1214951666668,1747.3551666666667,22.18951000000001,range_poc,spec,long,1760.94,1739.5888381666666,1735.7056739166665
AMZN,2020-01-16,S1_contraction,1870.8384166666665,1888.6265833333332,1879.7324999999998,25.411666666666687,range_poc,spec,long,1877.94,1870.8384166666665,1866.3913749999997
AMZN,2020-01-21,S1_contraction,1870.7066999999997,1888.7583,1879.7324999999998,25.788000000000025,range_poc,spec,long,1892.0,1870.7066999999997,1866.1937999999996
AMZN,2020-02-28,S4_failed_break,1856.4062226666667,1891.6336106666665,1874.0199166666666,50.32483999999999,range_poc,spec,long,1883.75,1856.4062226666667,1847.5993756666667
AMZN,2020-03-27,S1_contraction,1879.6270893333335,1940.820744,1910.2239166666668,87.41950666666665,range_poc,spec,long,1900.1,1879.6270893333335,1864.3286756666669
AMZN,2020-10-07,S1_contraction,3132.483302166667,3211.287531166667,3171.885416666667,112.57746999999998,range_poc,spec,long,3195.69,3132.483302166667,3112.782244916667
AMZN,2020-10-28,S1_contraction,3141.45221,3215.367123333333,3178.4096666666665,105.59273333333333,range_poc,spec,long,3162.78,3141.45221,3122.973481666667
AMZN,2020-11-17,S1_contraction,3151.9912005,3230.6547994999996,3191.323,112.37656999999996,range_poc,spec,long,3135.66,3151.9912005,3132.32530075
AMZN,2020-11-30,S1_contraction,3107.9823775,3174.2142891666667,3141.0983333333334,94.61701666666661,range_poc,spec,long,3168.04,3107.9823775,3091.424399583333
AMZN,2021-01-13,S1_contraction,3163.698116,3208.8363839999997,3186.26725,64.48324000000002,range_poc,spec,long,3165.89,3163.698116,3152.413549
AMZN,2021-01-20,S1_contraction,3162.816874333333,3209.7176256666667,3186.26725,67.00107333333335,range_poc,spec,long,3263.38,3162.816874333333,3151.0916865
AMZN,2021-01-29,S1_contraction,3165.2555979999997,3215.161902,3190.20875,71.29472000000001,range_poc,spec,long,3206.2,3165.2555979999997,3152.7790219999997
AMZN,2021-02-17,S1_contraction,3283.513142166667,3335.0868578333334,3309.3,73.67673666666663,range_poc,spec,long,3308.64,3283.513142166667,3270.61971325
AMZN,2021-03-18,S1_contraction,3055.1478896666667,3111.9188953333332,3083.5333925,81.10143666666667,range_poc,spec,long,3027.99,3055.1478896666667,3040.9551382500003
AMZN,2021-06-04,S1_contraction,3214.2195745,3260.9459255,3237.58275,66.75192999999996,range_poc,spec,long,3206.22,3214.2195745,3202.5379867499996
AMZN,2021-06-08,S1_contraction,3214.7642666666666,3260.4012333333335,3237.58275,65.19566666666664,range_poc,spec,long,3264.11,3214.7642666666666,3203.355025
FB,2012-07-02,S1_contraction,31.504201333333327,32.718132,32.11116666666666,1.734186666666667,range_poc,spec,long,30.771,31.504201333333327,31.20071866666666
FB,2012-07-05,S1_contraction,31.537509000000007,32.586991000000005,32.062250000000006,1.4992600000000005,range_poc,spec,long,31.47,31.537509000000007,31.275138500000008
FB,2012-08-15,S1_contraction,20.774815500000003,21.694851166666666,21.234833333333334,1.3143366666666663,range_poc,spec,long,21.2,20.774815500000003,20.544806583333337
FB,2012-08-16,S1_contraction,19.988840500000002,20.929992833333337,20.45941666666667,1.344503333333333,range_poc,spec,long,19.87,19.988840500000002,19.75355241666667
FB,2012-08-22,S1_contraction,19.44098,20.378186666666668,19.909583333333334,1.338866666666666,range_poc,spec,long,19.439,19.44098,19.206678333333333
FB,2012-09-06,S1_contraction,18.842266,19.639734,19.241,1.13924,range_poc,spec,long,18.96,18.842266,18.642899
FB,2012-12-18,S1_contraction,27.401329333333333,28.189837333333333,27.795583333333333,1.1264399999999997,range_poc,spec,long,27.71,27.401329333333333,27.204202333333335
FB,2013-01-02,S1_contraction,27.100812166666667,27.87818783333333,27.4895,1.1105366666666663,range_poc,spec,long,28.0,27.100812166666667,26.906468250000003
FB,2013-03-01,S1_contraction,27.788210166666666,28.48879816666667,28.138504166666667,1.0008400000000006,range_poc,spec,long,27.78,27.788210166666666,27.613063166666663
FB,2013-03-06,S1_contraction,27.795210166666667,28.481798166666668,28.138504166666667,0.9808400000000003,range_poc,spec,long,27.4525,27.795210166666667,27.623563166666667
FB,2013-03-07,S1_contraction,27.78994266666667,28.487065666666666,28.138504166666667,0.9958900000000003,range_poc,spec,long,28.578,27.78994266666667,27.615661916666667
FB,2013-04-04,S1_contraction,26.966953333333333,27.54863,27.257791666666666,0.8309666666666667,range_poc,spec,long,27.0725,26.966953333333333,26.821534166666666
FB,2013-04-12,S1_contraction,27.163565833333337,27.7475175,27.45554166666667,0.8342166666666666,range_poc,spec,long,27.4,27.163565833333337,27.01757791666667
FB,2013-05-17,S1_contraction,26.596124166666662,27.1665425,26.88133333333333,0.8148833333333338,range_poc,spec,long,26.25,26.596124166666662,26.45351958333333
FB,2013-06-17,S1_contraction,24.008558333333333,24.51594166666667,24.26225,0.7248333333333334,range_poc,spec,long,24.022,24.008558333333333,23.8817125
FB,2013-06-28,S1_contraction,24.015061666666668,24.534438333333334,24.27475,0.7419666666666668,range_poc,spec,long,24.88,24.015061666666668,23.885217500000003
FB,2013-07-02,S1_contraction,24.028618833333333,24.54613116666667,24.287375,0.7393033333333333,range_poc,spec,long,24.41,24.028618833333333,23.899240749999997
FB,2013-08-19,S1_contraction,37.82637283333333,38.67012716666667,38.24825,1.2053633333333338,range_poc,spec,long,37.81,37.82637283333333,37.61543424999999
FB,2013-10-04,S1_contraction,50.126149999999996,51.17335,50.64975,1.4959999999999998,range_poc,spec,long,51.04,50.126149999999996,49.864349999999995
FB,2013-10-28,S1_contraction,48.94101766666667,50.17323233333333,49.557125,1.7603066666666662,range_poc,spec,long,50.229,48.94101766666667,48.632964
FB,2013-12-11,S1_contraction,48.09929999999999,49.39103333333333,48.74516666666666,1.8453333333333342,range_poc,spec,long,49.38,48.09929999999999,47.77636666666666
FB,2014-01-24,S1_contraction,53.778930833333334,55.05606916666666,54.4175,1.8244833333333332,range_poc,spec,long,54.45,53.778930833333334,53.459646250000006
FB,2014-03-04,S1_contraction,68.1863165,69.79618350000001,68.99125000000001,2.2998099999999995,range_poc,spec,long,68.8,68.1863165,67.78384975
FB,2014-03-11,S1_contraction,69.0383035,70.64502983333334,69.84166666666667,2.2953233333333336,range_poc,spec,long,70.1,69.0383035,68.63662191666666
FB,2014-03-11,S4_failed_break,69.14747016666666,70.7541965,69.95083333333334,2.2953233333333336,range_poc,spec,long,70.1,69.14747016666666,68.74578858333334
FB,2014-05-07,S1_contraction,59.22457516666667,61.24292483333333,60.23375,2.8833566666666663,range_poc,spec,long,57.39,59.22457516666667,58.71998775
FB,2014-05-12,S1_contraction,58.87216683333333,60.77699983333333,59.82458333333333,2.7211899999999996,range_poc,spec,long,59.83,58.87216683333333,58.39595858333333
FB,2014-06-12,S1_contraction,62.864194999999995,64.11997166666666,63.492083333333326,1.7939666666666663,range_poc,spec,long,64.2901,62.864194999999995,62.55025083333333
FB,2014-06-18,S1_contraction,62.913078333333324,64.07108833333332,63.492083333333326,1.6542999999999992,range_poc,spec,long,65.6,62.913078333333324,62.62357583333333
FB,2014-06-19,S1_contraction,63.63999499999999,64.75950499999999,64.19975,1.5992999999999995,range_poc,spec,long,64.3415,63.63999499999999,63.360117499999994
FB,2014-07-08,S1_contraction,62.91816166666666,64.00033833333333,63.45925,1.5459666666666654,range_poc,spec,long,62.76,62.91816166666666,62.647617499999996
FB,2014-08-15,S1_contraction,72.6133755,73.84379116666666,73.22858333333333,1.7577366666666658,range_poc,spec,long,73.63,72.6133755,72.30577158333334
FB,2014-08-27,S1_contraction,74.16291366666667,75.21541966666666,74.68916666666667,1.5035799999999995,range_poc,spec,long,74.63,74.16291366666667,73.89978716666667
FB,2014-08-29,S1_contraction,74.24860533333332,75.24872799999999,74.74866666666665,1.428746666666666,range_poc,spec,long,74.82,74.24860533333332,73.99857466666666
FB,2014-09-15,S1_contraction,74.32079100000001,75.281709,74.80125000000001,1.3727399999999998,range_poc,spec,long,74.58,74.32079100000001,74.08056150000002
FB,2014-09-15,S3_rejection,72.82571783333334,73.78663583333334,73.30617683333334,1.3727399999999998,rejection_origin,spec,long,74.58,72.82571783333334,72.58548833333334
FB,2014-09-25,S1_contraction,76.676641,77.73835900000002,77.20750000000001,1.51674,range_poc,spec,long,77.22,76.676641,76.41121150000001
FB,2014-10-01,S1_contraction,76.65514333333334,77.78073166666667,77.2179375,1.6079833333333335,range_poc,spec,long,76.55,76.65514333333334,76.37374625000001
FB,2014-10-08,S1_contraction,76.61308616666668,77.82278883333333,77.2179375,1.7281466666666674,range_poc,spec,long,77.52,76.61308616666668,76.31066050000001
FB,2014-10-29,S1_contraction,76.54130016666667,78.01003316666666,77.27566666666667,2.0981899999999998,range_poc,spec,long,75.86,76.54130016666667,76.17411691666668
FB,2014-11-21,S1_contraction,74.07715316666666,75.41551349999999,74.74633333333333,1.9119433333333313,range_poc,spec,long,73.75,74.07715316666666,73.74256308333332
FB,2014-11-24,S1_contraction,74.09185316666665,75.4008135,74.74633333333333,1.8699433333333313,range_poc,spec,long,74.01,74.09185316666665,73.76461308333332
FB,2014-12-09,S1_contraction,74.15238333333333,75.33678333333334,74.74458333333334,1.6919999999999977,range_poc,spec,long,76.84,74.15238333333333,73.85628333333332
FB,2015-01-05,S1_contraction,76.67761916666667,77.84138083333333,77.2595,1.6625166666666662,range_poc,spec,long,77.19,76.67761916666667,76.38667875000002
FB,2015-01-28,S1_contraction,76.60966533333334,77.80583466666667,77.20775,1.7088133333333346,range_poc,spec,long,76.24,76.60966533333334,76.310623
FB,2015-01-29,S1_contraction,76.58878200000001,77.826718,77.20775,1.7684800000000014,range_poc,spec,long,78.0,76.58878200000001,76.27929800000001
FB,2015-03-17,S1_contraction,78.68139166666666,79.74760833333332,79.21449999999999,1.5231666666666688,range_poc,spec,long,79.365,78.68139166666666,78.41483749999999
FB,2015-04-15,S1_contraction,82.07452366666668,83.16418800000001,82.61935583333334,1.5566633333333337,range_poc,spec,long,82.705,82.07452366666668,81.80210758333334
FB,2015-04-20,S1_contraction,82.07055700000001,83.16815466666668,82.61935583333334,1.5679966666666663,range_poc,spec,long,83.09,82.07055700000001,81.79615758333334
FB,2015-05-27,S1_contraction,79.9837095,81.0762905,80.53,1.560829999999999,range_poc,spec,long,80.55,79.9837095,79.71056425
FB,2015-06-01,S1_contraction,79.985932,81.074068,80.53,1.5544799999999994,range_poc,spec,long,80.29,79.985932,79.713898
FB,2015-06-15,S1_contraction,80.12871533333333,81.15128466666667,80.64,1.4608133333333333,range_poc,spec,long,80.71,80.12871533333333,79.873073
FB,2015-07-09,S1_contraction,86.93571066666667,88.10528933333333,87.5205,1.6708266666666673,range_poc,spec,long,85.88,86.93571066666667,86.643316
FB,2015-07-10,S1_contraction,86.9209465,88.1200535,87.5205,1.7130100000000008,range_poc,spec,long,87.95,86.9209465,86.62116975
FB,2015-09-16,S1_contraction,93.49351866666667,95.51881466666667,94.50616666666667,2.8932800000000003,range_poc,spec,long,93.45,93.49351866666667,92.98719466666668
FB,2015-11-13,S1_contraction,102.58407166666667,104.253595,103.41883333333334,2.385033333333334,range_poc,spec,long,103.95,102.58407166666667,102.16669083333335
FB,2015-11-30,S1_contraction,102.60057450000001,104.28309216666666,103.44183333333334,2.403596666666667,range_poc,spec,long,104.24,102.60057450000001,102.17994508333334
FB,2015-12-01,S1_contraction,105.18554116666667,106.89745883333333,106.0415,2.4455966666666678,range_poc,spec,long,107.12,105.18554116666667,104.75756175000001
FB,2015-12-04,S1_contraction,105.13890783333333,106.89492550000001,106.01691666666667,2.5085966666666675,range_poc,spec,long,106.18,105.13890783333333,104.69990341666667
FB,2015-12-10,S1_contraction,105.25995783333333,107.04770883333335,106.15383333333334,2.553930000000001,range_poc,spec,long,105.42,105.25995783333333,104.81302008333333
FB,2015-12-15,S1_contraction,105.2460745,107.06159216666667,106.15383333333334,2.5935966666666683,range_poc,spec,long,104.55,105.2460745,104.79219508333334
FB,2015-12-16,S1_contraction,105.2268245,107.08084216666667,106.15383333333334,2.6485966666666685,range_poc,spec,long,106.79,105.2268245,104.76332008333334
FB,2015-12-30,S1_contraction,105.38658999999998,106.90041,106.14349999999999,2.1626000000000007,range_poc,spec,long,106.22,105.38658999999998,105.00813499999998
FB,2016-03-02,S1_contraction,105.98519066666667,108.970476,107.47783333333334,4.264693333333332,range_poc,spec,long,109.95,105.98519066666667,105.23886933333333
FB,2016-04-07,S1_contraction,111.718738,113.23842866666666,112.47858333333333,2.1709866666666655,range_poc,spec,long,113.64,111.718738,111.33881533333334
FB,2016-04-08,S1_contraction,111.69575466666667,113.26141199999999,112.47858333333333,2.236653333333332,range_poc,spec,long,110.63,111.69575466666667,111.30434033333334
FB,2016-05-24,S1_contraction,116.61873316666666,118.4024335,117.51058333333333,2.548143333333334,range_poc,spec,long,117.7,116.61873316666666,116.17280808333332
FB,2016-05-31,S1_contraction,116.680752,118.34041466666666,117.51058333333333,2.3709466666666668,range_poc,spec,long,118.81,116.680752,116.26583633333334
FB,2016-06-01,S1_contraction,116.70443533333334,118.31673133333332,117.51058333333333,2.30328,range_poc,spec,long,118.78,116.70443533333334,116.30136133333335
FB,2016-06-02,S1_contraction,116.710152,118.31101466666667,117.51058333333333,2.2869466666666667,range_poc,spec,long,118.93,116.710152,116.30993633333333
FB,2016-06-03,S1_contraction,116.71726866666667,118.30389799999999,117.51058333333333,2.2666133333333334,range_poc,spec,long,118.47,116.71726866666667,116.32061133333335
FB,2016-08-17,S1_contraction,124.11919166666667,125.40730833333333,124.76325,1.8401666666666672,range_poc,spec,long,124.37,124.11919166666667,123.7971625
FB,2016-08-22,S1_contraction,124.07927666666667,125.33489000000002,124.70708333333334,1.7937333333333332,range_poc,spec,long,124.15,124.07927666666667,123.76537333333334
FB,2016-08-25,S1_contraction,124.07927666666667,125.33489000000002,124.70708333333334,1.7937333333333332,range_poc,spec,long,123.89,124.07927666666667,123.76537333333334
FB,2016-08-30,S1_contraction,124.11522666666667,125.33560666666668,124.72541666666667,1.7433999999999998,range_poc,spec,long,125.84,124.11522666666667,123.81013166666668
FB,2016-08-31,S1_contraction,124.12129333333334,125.32954000000001,124.72541666666667,1.7260666666666666,range_poc,spec,long,126.12,124.12129333333334,123.81923166666667
FB,2016-09-23,S1_contraction,127.81793483333333,128.9353985,128.37666666666667,1.596376666666668,range_poc,spec,long,127.96,127.81793483333333,127.53856891666666
FB,2016-09-27,S1_contraction,127.65270149999996,128.79396516666662,128.2233333333333,1.630376666666668,range_poc,spec,long,128.69,127.65270149999996,127.3673855833333
FB,2016-09-29,S1_contraction,127.7776515,128.92218183333333,128.34991666666667,1.6350433333333343,range_poc,spec,long,128.09,127.7776515,127.49151891666668
FB,2016-10-11,S1_contraction,127.7918895,128.9441105,128.368,1.6460299999999999,range_poc,spec,long,128.88,127.7918895,127.50383425
FB,2016-10-18,S1_contraction,127.8223395,128.9731605,128.39775,1.6440299999999994,range_poc,spec,long,128.57,127.8223395,127.53463425
FB,2016-11-21,S1_contraction,121.01777500000001,123.04375,122.03076250000001,2.894249999999999,range_poc,spec,long,121.77,121.01777500000001,120.51128125000002
FB,2016-12-09,S1_contraction,119.76704166666667,121.90233333333333,120.8346875,3.0504166666666674,range_poc,spec,long,119.68,119.76704166666667,119.23321875
FB,2016-12-12,S1_contraction,116.67790000000001,118.784025,117.7309625,3.0087500000000005,range_poc,spec,long,117.77,116.67790000000001,116.15136875000002
FB,2016-12-14,S1_contraction,116.78259249999999,118.94059916666666,117.86159583333333,3.0828666666666673,range_poc,spec,long,120.21,116.78259249999999,116.24309083333333
FB,2016-12-19,S1_contraction,116.89070916666667,118.87721583333332,117.8839625,2.8378666666666676,range_poc,spec,long,119.24,116.89070916666667,116.3940825
FB,2016-12-27,S1_contraction,118.142918,119.804557,118.9737375,2.3737700000000013,range_poc,spec,long,118.01,118.142918,117.72750825
FB,2017-01-04,S1_contraction,118.25307216666667,119.7745945,119.01383333333334,2.1736033333333347,range_poc,spec,long,118.69,118.25307216666667,117.87269158333334
FB,2017-02-23,S1_contraction,133.06206766666665,134.36509899999996,133.7135833333333,1.8614733333333304,range_poc,spec,long,135.36,133.06206766666665,132.73630983333334
FB,2017-02-24,S1_contraction,133.04806766666667,134.33709900000002,133.69258333333335,1.8414733333333306,range_poc,spec,long,135.44,133.04806766666667,132.72580983333333
FB,2017-04-07,S1_contraction,139.23085,140.26264999999998,139.74675,1.474,range_poc,spec,long,140.78,139.23085,138.9729
FB,2017-04-11,S1_contraction,139.56465,140.56868333333333,140.06666666666666,1.4343333333333335,range_poc,spec,long,139.92,139.56465,139.31364166666668
FB,2017-06-09,S1_contraction,150.79711666666668,152.3777166666667,151.58741666666668,2.2580000000000013,range_poc,spec,long,149.6,150.79711666666668,150.40196666666668
