event_date,type,t0,n_c5_bars,c5_full,prior_median_range,c5_median_range
2018-05-02,FOMC,2018-05-02T20:15:00,5,True,5.650000000000546,12.5
2018-05-04,NFP,2018-05-04T14:30:00,5,True,7.399500000000444,12.199999999998909
2018-06-01,NFP,2018-06-01T14:30:00,5,True,7.7995000000009895,12.001000000000204
2018-06-13,FOMC,2018-06-13T20:15:00,5,True,3.1510000000007494,9.700999999999112
2018-07-06,NFP,2018-07-06T14:30:00,5,True,8.400000000000546,14.699999999998909
2018-08-01,FOMC,2018-08-01T20:15:00,5,True,6.350499999999556,7.301000000001295
2018-08-03,NFP,2018-08-03T14:30:00,5,True,7.75,13.200999999999112
2018-09-07,NFP,2018-09-07T14:30:00,5,True,9.149500000000444,16.540000000000873
2018-09-26,FOMC,2018-09-26T20:15:00,5,True,3.0,7.0
2018-10-05,NFP,2018-10-05T14:30:00,5,True,7.000500000000102,26.0
2018-11-02,NFP,2018-11-02T13:30:00,5,True,11.0,20.200000000000728
2018-11-08,FOMC,2018-11-08T20:15:00,5,True,5.25,9.5
2018-12-07,NFP,2018-12-07T14:30:00,5,True,9.299999999999272,21.299999999999272
2018-12-19,FOMC,2018-12-19T20:15:00,5,True,8.0,21.200000000000728
2019-01-04,NFP,2019-01-04T14:30:00,5,True,9.350000000000364,22.700000000000728
2019-01-30,FOMC,2019-01-30T20:00:00,5,True,4.25,13.0
2019-02-01,NFP,2019-02-01T14:30:00,5,True,9.75,13.700000000000728
2019-03-08,NFP,2019-03-08T14:30:00,5,True,7.299999999999272,14.5
2019-03-20,FOMC,2019-03-20T19:00:00,5,True,6.350000000000364,10.700000000000728
2019-04-05,NFP,2019-04-05T14:30:00,5,True,5.100000000000364,13.5
2019-05-01,FOMC,2019-05-01T20:00:00,5,True,7.299999999999272,9.399999999999636
2019-05-03,NFP,2019-05-03T14:30:00,5,True,4.8400000000001455,11.979999999999563
2019-06-07,NFP,2019-06-07T14:30:00,5,True,6.8400000000001455,20.38000000000102
2019-06-19,FOMC,2019-06-19T20:00:00,5,True,2.899999999999636,12.700000000000728
2019-07-05,NFP,2019-07-05T14:30:00,5,True,5.5,22.0
2019-07-31,FOMC,2019-07-31T20:00:00,5,True,2.899999999999636,15.5
2019-08-02,NFP,2019-08-02T14:30:00,5,True,12.75,19.799999999999272
2019-09-06,NFP,2019-09-06T14:30:00,5,True,6.049999999999272,12.5
2019-09-18,FOMC,2019-09-18T20:00:00,5,True,2.7000000000007276,16.5
