symbol,release_date,release_time,side,period
AKS,2018-07-30,post,short,OOS
AL,2014-02-27,post,long,IS
AL,2014-05-08,post,long,IS
AL,2014-08-07,post,long,IS
AL,2015-02-26,post,long,IS
AL,2015-11-05,post,long,IS
AL,2016-05-05,post,long,IS
AL,2016-08-04,post,long,IS
AL,2016-11-03,post,long,IS
AL,2017-05-04,post,short,OOS
AL,2018-11-08,post,long,OOS
ALB,2013-01-22,post,long,IS
ALB,2013-07-17,post,short,IS
ALB,2014-10-22,post,long,IS
ALB,2015-05-06,post,long,IS
ALB,2016-05-10,post,long,IS
ALB,2017-02-27,post,long,OOS
ALB,2017-05-03,post,long,OOS
ALB,2018-08-07,post,long,OOS
ALB,2019-02-20,post,long,OOS
ALC,2019-08-20,post,short,OOS
ALDR,2017-02-23,post,short,OOS
ALDR,2017-04-27,post,short,OOS
ALE,2014-11-03,pre,long,IS
ALE,2015-05-07,pre,long,IS
ALE,2015-11-03,pre,long,IS
ALE,2016-11-04,pre,long,IS
ALE,2017-08-02,pre,long,OOS
ALE,2017-11-01,pre,long,OOS
ALE,2018-08-02,pre,short,OOS
ALGN,2012-10-17,post,short,IS
ALGN,2013-01-30,post,long,IS
ALGN,2013-07-18,post,long,IS
ALGN,2013-10-17,post,long,IS
ALGN,2014-07-24,post,long,IS
ALGN,2014-10-23,post,long,IS
ALGN,2015-01-29,post,short,IS
ALGN,2015-04-23,post,long,IS
ALGN,2015-10-22,post,long,IS
ALGN,2016-01-28,post,long,IS
ALGN,2016-04-28,post,long,IS
ALGN,2017-04-27,post,long,OOS
ALGN,2017-07-27,post,long,OOS
ALGN,2017-10-26,post,long,OOS
ALGN,2018-04-25,post,long,OOS
ALGT,2017-04-25,post,short,OOS
ALGT,2017-07-26,post,short,OOS
ALGT,2018-04-25,post,long,OOS
ALGT,2019-01-30,post,long,OOS
ALK,2014-10-23,pre,long,IS
ALK,2015-01-22,pre,long,IS
ALK,2017-10-25,pre,short,OOS
ALK,2018-04-23,pre,long,OOS
ALKS,2013-05-23,pre,short,IS
ALKS,2014-07-31,pre,short,IS
ALKS,2018-07-26,pre,long,OOS
ALL,2012-10-31,post,long,IS
ALL,2013-02-06,post,long,IS
ALL,2013-07-31,post,long,IS
ALL,2014-02-05,post,long,IS
ALL,2014-07-30,post,long,IS
ALL,2014-10-29,post,long,IS
ALL,2015-08-03,post,short,IS
ALL,2015-11-02,post,long,IS
ALL,2016-05-04,post,long,IS
ALL,2017-02-01,post,long,OOS
ALL,2017-05-02,post,long,OOS
ALL,2017-11-01,post,long,OOS
ALL,2018-10-31,post,short,OOS
ALL,2019-02-05,post,long,OOS
ALL,2019-07-30,post,long,OOS
ALLE,2014-07-30,post,short,IS
ALLE,2014-10-30,pre,long,IS
ALLE,2015-10-29,pre,long,IS
ALLE,2016-04-28,pre,short,IS
ALLE,2016-10-27,pre,short,IS
ALLE,2017-04-27,pre,long,OOS
ALLE,2018-02-20,pre,long,OOS
ALLE,2018-04-26,pre,short,OOS
